sample,datetime,wtemp_p_1,wtrhgt__2,batt_mi_3
1,08/28/2015 18:50:00,24.2,-3,3.56
2,08/28/2015 18:55:00,24.2,-2,3.56
3,08/28/2015 19:00:00,24.5,-2,3.56
4,08/28/2015 19:05:00,24.5,-2,3.56
5,08/28/2015 19:10:00,24.5,-2,3.56
6,08/28/2015 19:15:00,24.5,-2,3.56
7,08/28/2015 19:20:00,24.5,-2,3.56
8,08/28/2015 19:25:00,24.5,-2,3.56
9,08/28/2015 19:30:00,24.5,-2,3.56
10,08/28/2015 19:35:00,24.5,-2,3.56
11,08/28/2015 19:40:00,24.5,-2,3.56
12,08/28/2015 19:45:00,24.5,-2,3.56
13,08/28/2015 19:50:00,24.5,-2,3.56
14,08/28/2015 19:55:00,24.5,-2,3.56
15,08/28/2015 20:00:00,24.5,-2,3.56
16,08/28/2015 20:05:00,24.5,-2,3.56
17,08/28/2015 20:10:00,24.5,-2,3.56
18,08/28/2015 20:15:00,24.5,-2,3.56
19,08/28/2015 20:20:00,24.5,-2,3.56
20,08/28/2015 20:25:00,24.5,-2,3.56
21,08/28/2015 20:30:00,24.5,-2,3.56
22,08/28/2015 20:35:00,24.5,-2,3.56
23,08/28/2015 20:40:00,24.5,-2,3.56
24,08/28/2015 20:45:00,24.5,-2,3.56
25,08/28/2015 20:50:00,24.5,-2,3.56
26,08/28/2015 20:55:00,24.5,-2,3.56
27,08/28/2015 21:00:00,24.5,-2,3.56
28,08/28/2015 21:05:00,24.5,-2,3.55
29,08/28/2015 21:10:00,24.5,-2,3.56
30,08/28/2015 21:15:00,24.5,-2,3.56
31,08/28/2015 21:20:00,24.5,-2,3.56
32,08/28/2015 21:25:00,24.5,-2,3.55
33,08/28/2015 21:30:00,24.5,-2,3.56
34,08/28/2015 21:35:00,24.5,-2,3.56
35,08/28/2015 21:40:00,24.5,-2,3.55
36,08/28/2015 21:45:00,24.5,-2,3.55
37,08/28/2015 21:50:00,24.5,-2,3.55
38,08/28/2015 21:55:00,24.5,-2,3.55
